[(1967, 341) - (2325, 328)]
[(2325, 328) - (2757, 459)]
[(2757, 459) - (3132, 634)]
[(3132, 634) - (2959, 935)]
[(2959, 935) - (2809, 904)]
[(2809, 904) - (2880, 1650)]
[(2880, 1650) - (2908, 1974)]
[(2908, 1974) - (2912, 2040)]
[(2912, 2040) - (2807, 2070)]
[(2807, 2070) - (2682, 2078)]
[(2682, 2078) - (2496, 2083)]
[(2496, 2083) - (1488, 2087)]
[(1488, 2087) - (1441, 2073)]
[(1441, 2073) - (1441, 1996)]
[(1441, 1996) - (1524, 938)]
[(1524, 938) - (1326, 976)]
[(1326, 976) - (1152, 687)]
[(1152, 687) - (1502, 510)]
[(1502, 510) - (1967, 341)]
